tag,p,risk_score,quintile,logOR_mean,logOR_2.5%,logOR_97.5%
ASD,F8101,MultiPGS_xgboost,Q3,0,0,0
ADHD,F9201,MultiPGS_lasso,Q1,-1.21,-1.28,-1.17
ADHD,F9201,MultiPGS_lasso,Q2,-0.49,-0.56,-0.43
ADHD,F9201,MultiPGS_lasso,Q4,0.49,0.43,0.53
ADHD,F9201,MultiPGS_lasso,Q5,1.13,1.04,1.19
ADHD,F9201,MultiPGS_lasso,Q3,0,0,0
ADHD,F9201,MultiPGS_lassoPGS_xgboostCOV,Q1,-1.23,-1.32,-1.12
ADHD,F9201,MultiPGS_lassoPGS_xgboostCOV,Q2,-0.49,-0.54,-0.44
ADHD,F9201,MultiPGS_lassoPGS_xgboostCOV,Q4,0.49,0.38,0.64
ADHD,F9201,MultiPGS_lassoPGS_xgboostCOV,Q5,1.08,0.96,1.22
ADHD,F9201,MultiPGS_lassoPGS_xgboostCOV,Q3,0,0,0
ADHD,F9201,PGS_single_GWAS,Q1,-0.34,-0.41,-0.26
ADHD,F9201,PGS_single_GWAS,Q2,-0.14,-0.27,-0.07
ADHD,F9201,PGS_single_GWAS,Q4,0.4,0.32,0.47
ADHD,F9201,PGS_single_GWAS,Q5,0.75,0.71,0.8
ADHD,F9201,PGS_single_GWAS,Q3,0,0,0
ADHD,F9201,MultiPGS_xgboost,Q1,-0.98,-1.1,-0.82
ADHD,F9201,MultiPGS_xgboost,Q2,-0.45,-0.49,-0.39
ADHD,F9201,MultiPGS_xgboost,Q4,0.4,0.34,0.46
ADHD,F9201,MultiPGS_xgboost,Q5,0.88,0.82,0.95
ADHD,F9201,MultiPGS_xgboost,Q3,0,0,0
